,Variables,Missing_percentage
0,Body mass index,4.1891891891891895
1,Absenteeism time in hours,2.9729729729729732
2,Height,1.891891891891892
3,Work load Average/day ,1.3513513513513513
4,Education,1.3513513513513513
5,Transportation expense,0.945945945945946
6,Son,0.8108108108108109
7,Disciplinary failure,0.8108108108108109
8,Hit target,0.8108108108108109
9,Social smoker,0.5405405405405406
10,Age,0.40540540540540543
11,Reason for absence,0.40540540540540543
12,Service time,0.40540540540540543
13,Distance from Residence to Work,0.40540540540540543
14,Social drinker,0.40540540540540543
15,Pet,0.2702702702702703
16,Weight,0.13513513513513514
17,Month of absence,0.13513513513513514
18,Seasons,0.0
19,Day of the week,0.0
20,ID,0.0
