"","Year","Month.of.absence","Absenteeism.time.in.hours"
"1",2007,"7",91.6023256001631
"2",2007,"8",107.375441922012
"3",2007,"9",62.0400150651925
"4",2007,"10",75.1478445937661
"5",2007,"11",81.3592740652241
"6",2007,"12",65.1498207824273
"7",2008,"1",60
"8",2008,"2",87
"9",2008,"3",193.654893549199
"10",2008,"4",83.6637140713504
"11",2008,"5",62.1785776582255
"12",2008,"6",99.4682687131344
"13",2008,"7",113
"14",2008,"8",66.206414474779
"15",2008,"9",82.2010381182391
"16",2008,"10",122.107546507638
"17",2008,"11",96.6607503470431
"18",2008,"12",69
"19",2009,"1",43.6123764226501
"20",2009,"2",86.3423052217522
"21",2009,"3",129.382623874627
"22",2009,"4",57.8803898940151
"23",2009,"5",75
"24",2009,"6",63.0022251672592
"25",2009,"7",96.5505514697966
"26",2009,"8",76
"27",2009,"9",41
"28",2009,"10",99
"29",2009,"11",87.5648081656206
"30",2009,"12",59.9020970564144
"31",2010,"1",71
"32",2010,"2",101
"33",2010,"3",135.142679045009
"34",2010,"4",95.5176321812582
"35",2010,"5",131.27025057855
"36",2010,"6",78.9807670399613
"37",2010,"7",75.2051583466676
